132070255046	CPU	37	[500000000000, 249999999999, 124999999999, 187499999999, 156249999999, 140624999999, 132812499999, 128906249999, 130859374999, 131835937499, 132324218749, 132080078124, 131958007811, 132019042967, 132049560545, 132064819334, 132072448729, 132068634031, 132070541380, 132069587705, 132070064542, 132070302961, 132070183751, 132070243356, 132070273158, 132070258257, 132070250806, 132070254531, 132070256394, 132070255462, 132070254996, 132070255229, 132070255112, 132070255054, 132070255025, 132070255039, 132070255046]	2026-03-11 19:34:20
393338201297	CPU	40	[500000000000, 249999999999, 374999999999, 437499999999, 406249999999, 390624999999, 398437499999, 394531249999, 392578124999, 393554687499, 393066406249, 393310546874, 393432617186, 393371582030, 393341064452, 393325805663, 393333435057, 393337249754, 393339157103, 393338203428, 393337726591, 393337965009, 393338084218, 393338143823, 393338173625, 393338188526, 393338195977, 393338199702, 393338201565, 393338200633, 393338201099, 393338201332, 393338201215, 393338201273, 393338201302, 393338201287, 393338201294, 393338201298, 393338201296, 393338201297]	2026-03-11 19:34:20
718268279879	CPU	39	[500000000000, 750000000000, 625000000000, 687500000000, 718750000000, 703125000000, 710937500000, 714843750000, 716796875000, 717773437500, 718261718750, 718505859375, 718383789062, 718322753906, 718292236328, 718276977539, 718269348144, 718265533447, 718267440795, 718268394469, 718267917632, 718268156050, 718268275259, 718268334864, 718268305061, 718268290160, 718268282709, 718268278984, 718268280846, 718268279915, 718268279449, 718268279682, 718268279798, 718268279856, 718268279885, 718268279870, 718268279877, 718268279881, 718268279879]	2026-03-11 19:34:20
923722606754	CPU	40	[500000000000, 750000000000, 875000000000, 937500000000, 906250000000, 921875000000, 929687500000, 925781250000, 923828125000, 922851562500, 923339843750, 923583984375, 923706054687, 923767089843, 923736572265, 923721313476, 923728942870, 923725128173, 923723220824, 923722267150, 923722743987, 923722505568, 923722624777, 923722565172, 923722594974, 923722609875, 923722602424, 923722606149, 923722608012, 923722607080, 923722606614, 923722606847, 923722606730, 923722606788, 923722606759, 923722606744, 923722606751, 923722606755, 923722606753, 923722606754]	2026-03-11 19:34:20
982212899077	CPU	39	[500000000000, 750000000000, 875000000000, 937500000000, 968750000000, 984375000000, 976562500000, 980468750000, 982421875000, 981445312500, 981933593750, 982177734375, 982299804687, 982238769531, 982208251953, 982223510742, 982215881347, 982212066650, 982213973998, 982213020324, 982212543487, 982212781905, 982212901114, 982212841509, 982212871311, 982212886212, 982212893663, 982212897388, 982212899251, 982212898319, 982212898785, 982212899018, 982212899134, 982212899076, 982212899105, 982212899090, 982212899083, 982212899079, 982212899077]	2026-03-11 19:34:20
33250310656	CPU	39	[500000000000, 249999999999, 124999999999, 62499999999, 31249999999, 46874999999, 39062499999, 35156249999, 33203124999, 34179687499, 33691406249, 33447265624, 33325195311, 33264160155, 33233642577, 33248901366, 33256530760, 33252716063, 33250808714, 33249855040, 33250331877, 33250093458, 33250212667, 33250272272, 33250302074, 33250316975, 33250309524, 33250313249, 33250311386, 33250310455, 33250310920, 33250310687, 33250310571, 33250310629, 33250310658, 33250310643, 33250310650, 33250310654, 33250310656]	2026-03-11 19:34:20
959756216988	CPU	40	[500000000000, 750000000000, 875000000000, 937500000000, 968750000000, 953125000000, 960937500000, 957031250000, 958984375000, 959960937500, 959472656250, 959716796875, 959838867187, 959777832031, 959747314453, 959762573242, 959754943847, 959758758544, 959756851195, 959755897521, 959756374358, 959756135939, 959756255148, 959756195543, 959756225345, 959756210444, 959756217894, 959756214169, 959756216031, 959756216962, 959756217428, 959756217195, 959756217078, 959756217020, 959756216991, 959756216976, 959756216983, 959756216987, 959756216989, 959756216988]	2026-03-11 19:34:20
722418052630	CPU	39	[500000000000, 750000000000, 625000000000, 687500000000, 718750000000, 734375000000, 726562500000, 722656250000, 720703125000, 721679687500, 722167968750, 722412109375, 722534179687, 722473144531, 722442626953, 722427368164, 722419738769, 722415924072, 722417831420, 722418785094, 722418308257, 722418069838, 722417950629, 722418010233, 722418040035, 722418054936, 722418047485, 722418051210, 722418053073, 722418052141, 722418052607, 722418052840, 722418052723, 722418052665, 722418052636, 722418052621, 722418052628, 722418052632, 722418052630]	2026-03-11 19:34:20
355480838632	CPU	38	[500000000000, 249999999999, 374999999999, 312499999999, 343749999999, 359374999999, 351562499999, 355468749999, 357421874999, 356445312499, 355957031249, 355712890624, 355590820311, 355529785155, 355499267577, 355484008788, 355476379393, 355480194090, 355482101439, 355481147764, 355480670927, 355480909345, 355480790136, 355480849740, 355480819938, 355480834839, 355480842289, 355480838564, 355480840426, 355480839495, 355480839029, 355480838796, 355480838680, 355480838622, 355480838651, 355480838636, 355480838629, 355480838632]	2026-03-11 19:34:20
225835248569	CPU	37	[500000000000, 249999999999, 124999999999, 187499999999, 218749999999, 234374999999, 226562499999, 222656249999, 224609374999, 225585937499, 226074218749, 225830078124, 225952148436, 225891113280, 225860595702, 225845336913, 225837707518, 225833892821, 225835800169, 225834846495, 225835323332, 225835084913, 225835204122, 225835263727, 225835233924, 225835248825, 225835241374, 225835245099, 225835246962, 225835247893, 225835248359, 225835248592, 225835248475, 225835248533, 225835248562, 225835248577, 225835248569]	2026-03-11 19:34:20
525741117895	CPU	39	[500000000000, 750000000000, 625000000000, 562500000000, 531250000000, 515625000000, 523437500000, 527343750000, 525390625000, 526367187500, 525878906250, 525634765625, 525756835937, 525695800781, 525726318359, 525741577148, 525733947753, 525737762450, 525739669799, 525740623473, 525741100310, 525741338729, 525741219519, 525741159914, 525741130112, 525741115211, 525741122661, 525741118936, 525741117073, 525741118004, 525741117538, 525741117771, 525741117887, 525741117945, 525741117916, 525741117901, 525741117894, 525741117897, 525741117895]	2026-03-11 19:34:20
140689271802	CPU	40	[500000000000, 249999999999, 124999999999, 187499999999, 156249999999, 140624999999, 148437499999, 144531249999, 142578124999, 141601562499, 141113281249, 140869140624, 140747070311, 140686035155, 140716552733, 140701293944, 140693664549, 140689849852, 140687942503, 140688896177, 140689373014, 140689134595, 140689253804, 140689313409, 140689283606, 140689268705, 140689276155, 140689272430, 140689270567, 140689271498, 140689271964, 140689271731, 140689271847, 140689271789, 140689271818, 140689271803, 140689271796, 140689271799, 140689271801, 140689271802]	2026-03-11 19:34:20
620443647892	CPU	39	[500000000000, 750000000000, 625000000000, 562500000000, 593750000000, 609375000000, 617187500000, 621093750000, 619140625000, 620117187500, 620605468750, 620361328125, 620483398437, 620422363281, 620452880859, 620437622070, 620445251464, 620441436767, 620443344115, 620444297789, 620443820952, 620443582533, 620443701742, 620443642137, 620443671939, 620443657038, 620443649587, 620443645862, 620443647724, 620443648655, 620443648189, 620443647956, 620443647840, 620443647898, 620443647869, 620443647883, 620443647890, 620443647894, 620443647892]	2026-03-11 19:34:20
210286448206	CPU	40	[500000000000, 249999999999, 124999999999, 187499999999, 218749999999, 203124999999, 210937499999, 207031249999, 208984374999, 209960937499, 210449218749, 210205078124, 210327148436, 210266113280, 210296630858, 210281372069, 210289001463, 210285186766, 210287094114, 210286140440, 210286617277, 210286378858, 210286498067, 210286438462, 210286468264, 210286453363, 210286445912, 210286449637, 210286447774, 210286448705, 210286448239, 210286448006, 210286448122, 210286448180, 210286448209, 210286448194, 210286448201, 210286448205, 210286448207, 210286448206]	2026-03-11 19:34:20
884864894713	CPU	40	[500000000000, 750000000000, 875000000000, 937500000000, 906250000000, 890625000000, 882812500000, 886718750000, 884765625000, 885742187500, 885253906250, 885009765625, 884887695312, 884826660156, 884857177734, 884872436523, 884864807128, 884868621825, 884866714476, 884865760802, 884865283965, 884865045546, 884864926337, 884864866732, 884864896534, 884864881633, 884864889083, 884864892808, 884864894671, 884864895602, 884864895136, 884864894903, 884864894787, 884864894729, 884864894700, 884864894714, 884864894707, 884864894710, 884864894712, 884864894713]	2026-03-11 19:34:20
519136710646	CPU	40	[500000000000, 750000000000, 625000000000, 562500000000, 531250000000, 515625000000, 523437500000, 519531250000, 517578125000, 518554687500, 519042968750, 519287109375, 519165039062, 519104003906, 519134521484, 519149780273, 519142150878, 519138336181, 519136428832, 519137382506, 519136905669, 519136667250, 519136786459, 519136726854, 519136697052, 519136711953, 519136704502, 519136708227, 519136710090, 519136711021, 519136710555, 519136710788, 519136710671, 519136710613, 519136710642, 519136710656, 519136710649, 519136710645, 519136710647, 519136710646]	2026-03-11 19:34:20
731583095247	CPU	37	[500000000000, 750000000000, 625000000000, 687500000000, 718750000000, 734375000000, 726562500000, 730468750000, 732421875000, 731445312500, 731933593750, 731689453125, 731567382812, 731628417968, 731597900390, 731582641601, 731590270995, 731586456298, 731584548949, 731583595275, 731583118438, 731582880019, 731582999228, 731583058833, 731583088635, 731583103536, 731583096085, 731583092360, 731583094222, 731583095153, 731583095619, 731583095386, 731583095269, 731583095211, 731583095240, 731583095254, 731583095247]	2026-03-11 19:34:20
867093455993	CPU	39	[500000000000, 750000000000, 875000000000, 812500000000, 843750000000, 859375000000, 867187500000, 863281250000, 865234375000, 866210937500, 866699218750, 866943359375, 867065429687, 867126464843, 867095947265, 867080688476, 867088317870, 867092132567, 867094039916, 867093086241, 867093563078, 867093324659, 867093443868, 867093503473, 867093473670, 867093458769, 867093451318, 867093455043, 867093456906, 867093455974, 867093456440, 867093456207, 867093456090, 867093456032, 867093456003, 867093455988, 867093455995, 867093455991, 867093455993]	2026-03-11 19:34:20
480944146299	CPU	40	[500000000000, 249999999999, 374999999999, 437499999999, 468749999999, 484374999999, 476562499999, 480468749999, 482421874999, 481445312499, 480957031249, 480712890624, 480834960936, 480895996092, 480926513670, 480941772459, 480949401854, 480945587156, 480943679807, 480944633481, 480944156644, 480943918225, 480944037434, 480944097039, 480944126841, 480944141742, 480944149193, 480944145467, 480944147330, 480944146398, 480944145932, 480944146165, 480944146281, 480944146339, 480944146310, 480944146295, 480944146302, 480944146298, 480944146300, 480944146299]	2026-03-11 19:34:20
178162205672	CPU	38	[500000000000, 249999999999, 124999999999, 187499999999, 156249999999, 171874999999, 179687499999, 175781249999, 177734374999, 178710937499, 178222656249, 177978515624, 178100585936, 178161621092, 178192138670, 178176879881, 178169250486, 178165435789, 178163528440, 178162574766, 178162097929, 178162336347, 178162217138, 178162157533, 178162187335, 178162202236, 178162209687, 178162205961, 178162204098, 178162205029, 178162205495, 178162205728, 178162205611, 178162205669, 178162205698, 178162205683, 178162205676, 178162205672]	2026-03-11 19:34:20
648567675609	CPU	39	[500000000000, 750000000000, 625000000000, 687500000000, 656250000000, 640625000000, 648437500000, 652343750000, 650390625000, 649414062500, 648925781250, 648681640625, 648559570312, 648620605468, 648590087890, 648574829101, 648567199706, 648571014403, 648569107054, 648568153380, 648567676543, 648567438124, 648567557333, 648567616938, 648567646740, 648567661641, 648567669092, 648567672817, 648567674680, 648567675611, 648567675145, 648567675378, 648567675494, 648567675552, 648567675581, 648567675596, 648567675603, 648567675607, 648567675609]	2026-03-11 19:34:20
738807139729	CPU	38	[500000000000, 750000000000, 625000000000, 687500000000, 718750000000, 734375000000, 742187500000, 738281250000, 740234375000, 739257812500, 738769531250, 739013671875, 738891601562, 738830566406, 738800048828, 738815307617, 738807678222, 738803863525, 738805770873, 738806724547, 738807201384, 738806962965, 738807082174, 738807141779, 738807111976, 738807126877, 738807134328, 738807138053, 738807139916, 738807138984, 738807139450, 738807139683, 738807139799, 738807139741, 738807139712, 738807139726, 738807139733, 738807139729]	2026-03-11 19:34:20
757933389811	CPU	39	[500000000000, 750000000000, 875000000000, 812500000000, 781250000000, 765625000000, 757812500000, 761718750000, 759765625000, 758789062500, 758300781250, 758056640625, 757934570312, 757873535156, 757904052734, 757919311523, 757926940917, 757930755614, 757932662963, 757933616637, 757933139800, 757933378218, 757933497427, 757933437822, 757933408020, 757933393119, 757933385668, 757933389393, 757933391256, 757933390324, 757933389858, 757933389625, 757933389741, 757933389799, 757933389828, 757933389813, 757933389806, 757933389809, 757933389811]	2026-03-11 19:34:20
571440132586	CPU	40	[500000000000, 750000000000, 625000000000, 562500000000, 593750000000, 578125000000, 570312500000, 574218750000, 572265625000, 571289062500, 571777343750, 571533203125, 571411132812, 571472167968, 571441650390, 571426391601, 571434020995, 571437835692, 571439743041, 571440696715, 571440219878, 571439981459, 571440100668, 571440160273, 571440130470, 571440145371, 571440137920, 571440134195, 571440132332, 571440133263, 571440132797, 571440132564, 571440132680, 571440132622, 571440132593, 571440132578, 571440132585, 571440132589, 571440132587, 571440132586]	2026-03-11 19:34:20
